                                         SIMULATION RESULTS

Cloudlet|Status |DC|Host|Host PEs |VM|VM PEs   |CloudletLen|CloudletPEs|StartTime|FinishTime|ExecTime
      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|  CPU cores|  Seconds|   Seconds| Seconds
-----------------------------------------------------------------------------------------------------
       2|SUCCESS| 2|   0|       32| 2|        2|       2000|          2|        0|         2|       2
       3|SUCCESS| 2|   0|       32| 3|        2|       2000|          2|        0|         2|       2
       0|SUCCESS| 2|   0|       32| 0|        2|       2000|          2|        0|         6|       6
       1|SUCCESS| 2|   0|       32| 1|        2|       2000|          2|        0|         6|       6
      15|SUCCESS| 2|   0|       32| 3|        2|       2000|          2|        2|         8|       6
       8|SUCCESS| 2|   0|       32| 0|        2|       2000|          2|        2|         9|       7
      12|SUCCESS| 2|   0|       32| 0|        2|       2000|          2|        2|         9|       7
       4|SUCCESS| 2|   0|       32| 0|        2|       2000|          2|        0|        10|      10
       5|SUCCESS| 2|   0|       32| 1|        2|       2000|          2|        0|        14|      14
       6|SUCCESS| 2|   0|       32| 2|        2|       4000|          2|        2|        14|      12
      20|SUCCESS| 2|   0|       32| 0|        2|       4000|          2|       14|        17|       4
      16|SUCCESS| 2|   1|       32| 4|        2|       2000|          2|       14|        17|       4
      17|SUCCESS| 2|   1|       32| 5|        2|       2000|          2|       14|        17|       4
      21|SUCCESS| 2|   0|       32| 1|        2|       2000|          2|       14|        19|       6
      23|SUCCESS| 2|   0|       32| 3|        2|       2000|          2|       14|        19|       6
      24|SUCCESS| 2|   1|       32| 4|        2|       4000|          2|       14|        19|       6
      18|SUCCESS| 2|   1|       32| 6|        2|      10000|          2|       14|        24|      11
      25|SUCCESS| 2|   1|       32| 5|        2|      10000|          2|       14|        25|      12
      26|SUCCESS| 2|   1|       32| 6|        2|       2000|          2|       23|        25|       3
      30|SUCCESS| 2|   2|       32|10|        2|       4000|          2|       23|        26|       4
      22|SUCCESS| 2|   0|       32| 2|        2|       4000|          2|       14|        26|      13
       7|SUCCESS| 2|   0|       32| 3|        2|      10000|          2|        2|        28|      26
      11|SUCCESS| 2|   0|       32| 3|        2|      10000|          2|        2|        28|      26
      27|SUCCESS| 2|   1|       32| 7|        2|       4000|          2|       23|        30|       8
      73|SUCCESS| 2|   5|       32|23|        2|       2000|          2|       31|        32|       2
      70|SUCCESS| 2|   4|       32|20|        2|       2000|          2|       31|        34|       4
      95|SUCCESS| 2|   5|       32|22|        2|       2000|          2|       31|        35|       4
      43|SUCCESS| 2|   3|       32|12|        2|       2000|          2|       31|        36|       6
      62|SUCCESS| 2|   3|       32|12|        2|       2000|          2|       31|        36|       6
      47|SUCCESS| 2|   1|       32|16|        2|       2000|          2|       31|        36|       6
      46|SUCCESS| 2|   3|       32|15|        2|       2000|          2|       31|        36|       6
      74|SUCCESS| 2|   0|       32| 0|        2|       2000|          2|       31|        36|       6
      77|SUCCESS| 2|   0|       32| 3|        2|       2000|          2|       31|        36|       6
      66|SUCCESS| 2|   1|       32|16|        2|       2000|          2|       31|        36|       6
      89|SUCCESS| 2|   1|       32|16|        2|       2000|          2|       31|        37|       6
      72|SUCCESS| 2|   5|       32|22|        2|       4000|          2|       31|        36|       6
      39|SUCCESS| 2|   2|       32| 8|        2|       2000|          2|       31|        38|       8
      40|SUCCESS| 2|   2|       32| 9|        2|       2000|          2|       31|        38|       8
      58|SUCCESS| 2|   2|       32| 8|        2|       2000|          2|       31|        38|       8
      57|SUCCESS| 2|   1|       32| 7|        2|       2000|          2|       31|        38|       8
      28|SUCCESS| 2|   2|       32| 8|        2|      10000|          2|       23|        38|      16
      80|SUCCESS| 2|   1|       32| 7|        2|       2000|          2|       31|        38|       8
      29|SUCCESS| 2|   2|       32| 9|        2|      10000|          2|       23|        38|      16
      71|SUCCESS| 2|   5|       32|21|        2|       4000|          2|       31|        38|       8
      54|SUCCESS| 2|   0|       32| 3|        2|       4000|          2|       31|        40|      10
      88|SUCCESS| 2|   3|       32|15|        2|       4000|          2|       31|        41|      10
     137|SUCCESS| 2|   8|       32|33|        2|       2000|          2|       41|        42|       2
     138|SUCCESS| 2|   8|       32|34|        2|       2000|          2|       41|        42|       2
     140|SUCCESS| 2|   8|       32|36|        2|       2000|          2|       41|        42|       2
      49|SUCCESS| 2|   4|       32|18|        2|       4000|          2|       31|        43|      13
      41|SUCCESS| 2|   2|       32|10|        2|       4000|          2|       31|        43|      13
      97|SUCCESS| 2|   5|       32|24|        2|       2000|          2|       41|        44|       4
     102|SUCCESS| 2|   7|       32|29|        2|       2000|          2|       41|        44|       4
     124|SUCCESS| 2|   4|       32|20|        2|       2000|          2|       41|        44|       4
     128|SUCCESS| 2|   5|       32|24|        2|       2000|          2|       41|        44|       4
     126|SUCCESS| 2|   5|       32|22|        2|       4000|          2|       41|        44|       4
     131|SUCCESS| 2|   6|       32|27|        2|       2000|          2|       41|        44|       4
     132|SUCCESS| 2|   6|       32|28|        2|       2000|          2|       41|        44|       4
     135|SUCCESS| 2|   7|       32|31|        2|       2000|          2|       41|        44|       4
     139|SUCCESS| 2|   8|       32|35|        2|       4000|          2|       41|        44|       4
     143|SUCCESS| 2|   9|       32|39|        2|       4000|          2|       41|        44|       4
      38|SUCCESS| 2|   1|       32| 7|        2|       4000|          2|       31|        44|      14
      82|SUCCESS| 2|   2|       32| 9|        2|       4000|          2|       31|        44|      14
      35|SUCCESS| 2|   0|       32| 3|        2|      10000|          2|       23|        45|      23
     108|SUCCESS| 2|   0|       32| 3|        2|       2000|          2|       41|        46|       6
